;Country;Days;CumConfirmed;CumConfirmed_per_million;CumDeaths;CumRecovered;smoothed_cumulative_testing_count;SmoothedCumTesting_per_thousand;Population;Pop_Density;Land_Area_Kmsq;HealthCapacityScore;RecoveryRate;FatalityRate;Active;Population Interval;Health Capacity Score Interval
161;Sweden;128;0.09116952343439237;1.546.759.989.604.320;0.25945794654102716;0.0;0.048401162502944864;0.4050770061155397;0.0699326409824006;0.008733624454148471;0.2505601040101133;62.532.637.075.718.000;0.0;27.586.206.896.551.700;0.14593370502668798;10-50m;35 to 50
162;Switzerland;226;0.07821527274800366;15.484.911.230.445.100;0.09740168866912347;0.07680190519503004;0.12447404924667618;12.156.324.483.538.600;0.05989544795266724;0.08239984811087905;0.02412854374056482;7.454.308.093.994.770;8.0;10.344.827.586.206.800;0.022247103868009977;1-10m;50 to 65
163;Syria;199;0.006324234606947717;0.0613207991010707;0.010915706488781079;0.002204087733799519;0.0;0.0;0.12135656386848197;0.035314220618948164;0.11212704943783823;0.9530026109660574;28.000.000.000.000.000;1.724.137.931.034.480;0.007339134680215053;10-50m; less than 10
165;Tajikistan;168;0.013389600579429976;0.24003483783787188;0.0036852171479218173;0.014670115981984559;0.0;0.0;0.06603057773953794;0.02506170495538257;0.085461390696842;21.018.276.762.402.000;8.9;0.3448275862068966;0.002276730641821853;1-10m;10 to 20
166;Tanzania;49;0.0006569118921783431;0.0012457937507302978;0.0009796146848906097;0.00029038736881591934;0.0;0.0;0.41478988549384227;0.02468198215302829;0.5408842190775295;0.11749347258485639;35.999.999.999.999.900;13.793.103.448.275.800;0.0006845955639108243;50-100m; less than 10
167;Thailand;260;0.004729247350001878;0.010973356177177044;0.0027522507813593318;0.005485623683041711;0.05575902876627263;0.067519849523708;0.48472548626923717;0.05126257831782798;0.3119576764032246;6.214.099.216.710.180;9.5;0.6896551724137931;0.00030401447739460943;50-100m;35 to 50
168;Timor-Leste;181;3,50E+11;0.004238368155532356;0.0;4,44E+11;0.0;0.0;0.008924637413807363;0.033035883804822475;0.009079269059305537;14.621.409.921.671.000;9.7;0.0;0.0;1-10m;10 to 20
169;Togo;207;0.0025524978847955345;0.0522556754457423;0.0023324159164062135;0.0023246857667503923;0.008554453720623143;0.08733743717938666;0.05728375718512764;0.0569584203531422;0.03321086588651347;0.10443864229765014;7.4;10.344.827.586.206.800;0.0010268933458662366;1-10m; less than 10
170;Trinidad_and_Tobago;208;0.006675365026632788;0.8172653728133145;0.0043382936045155565;0.0054776896019265225;0.0;0.0;0.009487713713425109;0.10290487943801026;0.003131856278510868;4.751.958.224.543.080;6.7;0.6896551724137931;0.00362115021963357;1-10m;35 to 50
171;Tunisia;196;0.017236486985499996;0.24937607705215548;0.008396697299062368;0.007984859234326264;0.018361340045969548;0.1313134474555375;0.08187849056907645;0.02809948737421682;0.09486489755764672;10.966.057.441.253.200;3.8;0.3448275862068966;0.01822285297094207;10-50m; less than 10
